Description,label,Translated_Description,Cleaned_Description,Contains_Injury_Keyword,Mentions_Injury_Entity,Sentence_Length,Embedding
"A power surge disrupted airport check-in systems, delaying passenger processing.",0,"A power surge disrupted airport check-in systems, delaying passenger processing.",power surge disrupted airport checkin system delaying passenger processing,0,0,9,"[ 0.4823069  -0.30147535  0.5370687  -0.03409888 -0.64878803 -0.20574635
 -0.26865187  0.05656689  0.50900775  0.14529644  0.18428555 -0.13709702
 -0.09852195  0.06687777 -0.15849708  0.14756155 -0.41782555  0.21800154
 -0.24879037 -0.38388157  0.44321775 -0.29919508 -0.38432398 -0.10186777
  0.21223445 -0.9532689   0.29713744  0.1807732   0.7575834   0.35739663
  2.1629      0.37205446 -0.08965189 -0.21307445  0.08285899  0.05057555
  0.2316011  -0.11043389 -0.17835978  0.49037388 -0.32698667  0.0202249
  0.04799278  0.13348335 -0.3692056  -0.05407844 -0.04190211  0.13898444
  0.31484568 -0.09686899]"
Een stewardess liep een blauwe plek op aan haar arm door een defecte kar tijdens een internationale vlucht.,1,A flight attendant suffered a bruise to her arm from a malfunctioning cart during an international flight.,flight attendant suffered bruise arm malfunctioning cart international flight,0,0,9,"[ 0.587463   -0.08342     0.04652333  0.04317955 -0.19158444  0.20369607
 -0.27016288  0.35972086  0.71353894 -0.38926712  0.47539002  0.15138811
 -0.76606345  0.45914263  0.05220601 -0.01153111 -0.8168333   0.22671467
 -0.7250887  -0.4843448  -0.08912165  0.34984577 -0.3203471  -0.20193349
  0.07175822 -1.1254023  -0.06647278  0.22673856  0.24977224  0.23702113
  1.8305511   0.6274985   0.13538443  0.13422935  0.04183966  0.2479078
  0.38841116  0.04079501  0.32983598  0.23161422 -0.08490456  0.06511355
  0.01454     0.46007442 -0.0186768  -0.09987979  0.06614245 -0.02243522
  0.09975401 -0.23537554]"
Een stewardess verstuikte haar enkel tijdens een veiligheidsdemonstratie in het gangpad.,1,A flight attendant sprained her ankle during a safety demonstration in the aisle.,flight attendant sprained ankle safety demonstration aisle,1,0,7,"[ 0.26709574  0.09689975 -0.05279442 -0.23121516 -0.02865713  0.10800914
 -0.43673128  0.30072287  0.58223283 -0.55126864  0.21852288 -0.12075373
 -0.7826107   0.36365056  0.11021362  0.21729001 -0.8342796  -0.18828544
 -0.4213459  -0.48076996 -0.38856715  0.57430357 -0.5002204  -0.33378583
  0.07115858 -0.9686399   0.44233355  0.52067226  0.3986443  -0.14607573
  1.7613486   0.62236005  0.07092874 -0.08775943  0.30911282  0.35565287
  0.8527128   0.01091472  0.15895855  0.3199443  -0.21127756  0.0636347
 -0.00560786  0.36746147  0.10321143 -0.00834285  0.22081129 -0.00318262
 -0.069474   -0.04399471]"
A ramp crew member suffered lacerations from handling a broken container during cargo loading.,1,A ramp crew member suffered lacerations from handling a broken container during cargo loading.,ramp crew member suffered laceration handling broken container cargo loading,0,0,10,"[ 0.393577    0.05641379  0.308033   -0.10143451  0.0105881   0.32883158
 -0.19319859  0.374116    0.6475107  -0.591604    0.3213724   0.2295543
 -0.249288    0.64172    -0.17450228 -0.19070102 -0.41627604  0.343224
 -0.3714786  -0.5996491   0.17741838 -0.05021201 -0.0512505  -0.3580518
  0.0347764  -0.9402456   0.40680385  0.54373837  0.568456    0.2294106
  2.040889    0.0483048   0.1826728   0.20567301  0.15886912  0.59396696
  0.46328002  0.04056709  0.21264598  0.2991442  -0.03199779 -0.16396481
  0.2805214   0.06948371 -0.04578999 -0.36684427 -0.16428182 -0.09152519
  0.27965862 -0.34959462]"
Een beveiligingsmedewerker werd gebeten door een hulphond die onrustig werd tijdens de controle.,1,A security guard was bitten by an assistance dog that became restless during the check.,security guard bitten assistance dog became restless check,0,0,8,"[ 0.20604748 -0.28731185  0.17713624 -0.4054614   0.3574654  -0.06109376
 -0.5020224   0.14678875  0.44856185 -0.53755337  0.2005647   0.1924175
  0.06849125  0.20011663  0.146485    0.01787988 -0.14449137  0.25859624
 -0.20255041 -0.006462   -0.2242279   0.34758252  0.1454435   0.08009873
  0.05975476 -1.4169362  -0.06572375  0.01502563  0.28607824 -0.0610425
  2.0912437   0.30693126 -0.10438874 -0.37464628 -0.07882031  0.55022544
  0.03950787 -0.26307186  0.08127587 -0.27234626 -0.16808176  0.22050287
  0.08385876  0.15540111  0.21835001 -0.3602968  -0.18985175 -0.06853876
  0.03116375  0.17661038]"
A cabin crew member sustained burns while preparing hot beverages in-flight.,1,A cabin crew member sustained burns while preparing hot beverages in-flight.,cabin crew member sustained burn preparing hot beverage inflight,0,0,9,"[ 0.23953888  0.01248866  0.08377579 -0.11494643 -0.01299533  0.06280333
 -0.5352239   0.22606444  0.5635412  -0.2047389   0.13680065  0.00905445
  0.00740755  0.6561522   0.07421667 -0.14985783 -0.22744244  0.46240437
 -0.47325966 -0.6767447   0.23772621  0.33696687  0.14875777  0.02405666
 -0.08246955 -0.6449311  -0.12218401  0.15292068  0.41208664  0.4765929
  1.9223292   0.18889822 -0.1742803   0.1091781  -0.03716257  0.2138189
  0.19867267 -0.1467889   0.32519    -0.03173167  0.03566965 -0.17123821
 -0.03866378  0.14575174  0.19317777  0.21622097 -0.32772833 -0.07769222
 -0.08119035  0.24522325]"
"A flight was delayed due to a missing safety manual in the cockpit, requiring a replacement.",0,"A flight was delayed due to a missing safety manual in the cockpit, requiring a replacement.",flight delayed due missing safety manual cockpit requiring replacement,0,0,9,"[ 0.50087804 -0.16459312  0.3027301  -0.11810712 -0.44923946  0.23180877
 -0.4466537   0.28478003  0.59101534 -0.4123353   0.35587513  0.08188466
 -0.26656777  0.4516641   0.30428413  0.05247556 -0.8287269  -0.1755
 -0.2622778  -0.87080353 -0.02072444  0.1861572  -0.26313624 -0.24031554
  0.13738868 -1.0441233   0.10631111  0.01591156  0.29390514  0.33885086
  2.4737556   0.01408711 -0.40694898 -0.41541064  0.61471105  0.30901098
  0.9479066   0.00985622 -0.05553222  0.059359   -0.17943776 -0.00590179
  0.30332443  0.34567368 -0.24409777  0.00421267  0.20614636  0.4334144
  0.02471522  0.024656  ]"
Een passagier struikelde over een kinderspeelgoed in het gangpad en brak zijn voet tijdens de vlucht.,1,A passenger tripped over a child's toy in the aisle and broke his foot during the flight.,passenger tripped child toy aisle broke foot flight,0,0,8,"[ 0.53486377 -0.18788962  0.27820587 -0.51976633  0.2989078   0.3583511
 -0.60690874 -0.05996624  0.6143423  -0.44448     0.05726662 -0.16881599
 -0.45586166  0.428688    0.24678117 -0.11833325 -0.6654374   0.215794
 -0.54197127 -0.52739394  0.11645375  0.2729235  -0.5484738   0.23003665
  0.30025634 -1.2474825   0.0563325   0.29990786  0.38845    -0.22769625
  1.8596485   0.31835875  0.10314514  0.43292874  0.22359261  0.164735
  0.43405876  0.04276537  0.02994351  0.13342556 -0.11276751  0.11821513
  0.17495775  0.16927624  0.05026376  0.05849288  0.19014937 -0.64192003
  0.05232614 -0.27798998]"
A minor air traffic control error resulted in a longer taxi time to the runway.,0,A minor air traffic control error resulted in a longer taxi time to the runway.,minor air traffic control error resulted longer taxi time runway,0,0,10,"[ 0.35003132 -0.0482793   0.2063407  -0.0576831  -0.292256    0.11007359
 -0.2046725   0.1690058   0.2441313  -0.3319923   0.2898236  -0.13191581
 -0.46434492  0.13629559  0.19498    -0.06538399 -0.34960642  0.0386969
 -0.69117415 -0.58846027  0.05007    -0.15007398 -0.216716    0.069673
  0.099579   -1.2281041  -0.0327174   0.27170393  0.79520094  0.2022378
  2.8218      0.185357    0.03219578 -0.41917604  0.12246142  0.14870901
  0.45914203 -0.08586079 -0.1379729   0.54232    -0.2335237   0.22564621
  0.21387658  0.15040001 -0.48121053 -0.33566362  0.11707979  0.02003781
  0.21196249  0.1507039 ]"
"A ground crew miscommunicated pushback clearance, leading to minor delays for two flights.",0,"A ground crew miscommunicated pushback clearance, leading to minor delays for two flights.",ground crew miscommunicated pushback clearance leading minor delay two flight,0,0,10,"[ 0.5142101  -0.14685503  0.09318421  0.06695712 -0.19889556  0.20220621
 -0.38717854  0.5327208   0.32326078 -0.4671137  -0.07698856 -0.00712767
 -0.34667122  0.29439378  0.00544078 -0.33661076 -0.17064823 -0.10743222
 -0.8311244  -0.55136913  0.06959111  0.05601478  0.05529112 -0.16965409
  0.03141333 -1.0652366   0.22019379  0.02658268  0.26557446  0.12591201
  2.444838    0.17004578 -0.07844422 -0.15324044  0.41019282  0.2723944
  0.37882277 -0.10218523 -0.15820777  0.0597389  -0.20242256  0.00931288
  0.13339932  0.27900112 -0.08425517 -0.11293489  0.07004922  0.44318557
 -0.00809611 -0.15041621]"
